Date,Clicks,Impressions,CTR,Position
2025-06-12,107,1974,5.42%,15.3
2025-06-13,108,2069,5.22%,15
2025-06-14,113,2093,5.4%,15.1
2025-06-15,93,2023,4.6%,15.3
2025-06-16,117,1893,6.18%,17.6
2025-06-17,88,1846,4.77%,15.9
2025-06-18,126,2066,6.1%,15.1
2025-06-19,101,1949,5.18%,16.6
2025-06-20,82,2003,4.09%,15.4
2025-06-21,117,2299,5.09%,12
2025-06-22,124,2229,5.56%,13.3
2025-06-23,97,2121,4.57%,13.9
2025-06-24,110,2131,5.16%,13.4
2025-06-25,88,2027,4.34%,13.9
2025-06-26,107,2133,5.02%,14.6
2025-06-27,97,2048,4.74%,15.4
2025-06-28,113,2109,5.36%,13
2025-06-29,98,1914,5.12%,14.2
2025-06-30,66,1764,3.74%,16.5
2025-07-01,77,1653,4.66%,15.6
2025-07-02,82,1783,4.6%,15
2025-07-03,83,1629,5.1%,15.6
2025-07-04,109,1848,5.9%,16
2025-07-05,116,2078,5.58%,13
2025-07-06,91,1991,4.57%,14.1
2025-07-07,85,1730,4.91%,14
2025-07-08,90,1726,5.21%,14.4
2025-07-09,105,2400,4.38%,13.3
2025-07-10,87,1740,5%,16.1
2025-07-11,69,1643,4.2%,15.9
2025-07-12,101,1823,5.54%,13.9
2025-07-13,87,1408,6.18%,17
2025-07-14,80,1559,5.13%,16.3
2025-07-15,96,1608,5.97%,15
2025-07-16,104,1949,5.34%,15.3
2025-07-17,102,2207,4.62%,13.6
2025-07-18,169,2718,6.22%,11.4
2025-07-19,156,2802,5.57%,11.6
2025-07-20,155,2713,5.71%,11.6
2025-07-21,137,2751,4.98%,12.4
2025-07-22,121,2731,4.43%,11.8
2025-07-23,125,2611,4.79%,12.9
2025-07-24,127,2572,4.94%,12.6
2025-07-25,194,3144,6.17%,10.3
2025-07-26,186,3331,5.58%,10.2
2025-07-27,151,3030,4.98%,10.6
2025-07-28,169,3036,5.57%,11.1
2025-07-29,142,2814,5.05%,11
2025-07-30,182,2787,6.53%,11.3
2025-07-31,173,2878,6.01%,10.2
2025-08-01,188,3135,6%,10
2025-08-02,211,3249,6.49%,9.2
2025-08-03,199,3195,6.23%,9.5
2025-08-04,198,3019,6.56%,9.9
2025-08-05,188,3060,6.14%,9.6
2025-08-06,195,3074,6.34%,10.3
2025-08-07,174,3061,5.68%,9.9
2025-08-08,216,3346,6.46%,9.4
2025-08-09,207,3344,6.19%,8.9
2025-08-10,201,3269,6.15%,9.3
2025-08-11,167,2984,5.6%,10.3
2025-08-12,146,2657,5.49%,10.7
2025-08-13,141,2658,5.3%,10.5
2025-08-14,145,2742,5.29%,11.2
2025-08-15,183,2943,6.22%,10
2025-08-16,179,2722,6.58%,10.3
2025-08-17,160,2513,6.37%,11.7
2025-08-18,167,2599,6.43%,11.6
2025-08-19,182,2721,6.69%,11.3
2025-08-20,186,2744,6.78%,11.1
2025-08-21,191,3033,6.3%,11.2
2025-08-22,211,3597,5.87%,11.7
2025-08-23,217,3863,5.62%,11.8
2025-08-24,202,3466,5.83%,12
2025-08-25,196,3503,5.6%,12.8
2025-08-26,202,3312,6.1%,14.2
2025-08-27,203,3663,5.54%,13.8
2025-08-28,183,3633,5.04%,14.5
2025-08-29,190,3677,5.17%,13.7
2025-08-30,264,3951,6.68%,14
2025-08-31,204,3640,5.6%,13.5
2025-09-01,189,3707,5.1%,13.6
2025-09-02,213,3512,6.06%,12.9
2025-09-03,197,3483,5.66%,13
2025-09-04,177,3384,5.23%,15.2
2025-09-05,230,3622,6.35%,13.8
2025-09-06,237,3587,6.61%,12.7
2025-09-07,177,3382,5.23%,12.9
2025-09-08,219,3687,5.94%,13
2025-09-09,199,3173,6.27%,11
2025-09-10,184,3003,6.13%,11.8
2025-09-11,229,3151,7.27%,10.2
2025-09-12,209,3601,5.8%,8.9
2025-09-13,249,3539,7.04%,8.8
2025-09-14,222,3428,6.48%,9.5
2025-09-15,175,3138,5.58%,10.4
2025-09-16,181,3148,5.75%,10.3
2025-09-17,177,3181,5.56%,9.8
2025-09-18,184,2968,6.2%,9.8
2025-09-19,196,3259,6.01%,9.9
2025-09-20,257,3663,7.02%,9.6
2025-09-21,213,3002,7.1%,10
2025-09-22,190,2824,6.73%,10.5
2025-09-23,185,2936,6.3%,10.3
2025-09-24,186,2928,6.35%,9.2
2025-09-25,211,3044,6.93%,9.1
2025-09-26,179,2969,6.03%,9.7
2025-09-27,202,2967,6.81%,9.1
2025-09-28,195,2820,6.91%,9.5
2025-09-29,154,2651,5.81%,10.4
2025-09-30,167,2521,6.62%,10.6
2025-10-01,175,2442,7.17%,9.5
2025-10-02,152,2483,6.12%,10.2
2025-10-03,209,2902,7.2%,9.2
2025-10-04,205,2738,7.49%,9.2
2025-10-05,183,2426,7.54%,9.7
2025-10-06,180,2618,6.88%,9.5
2025-10-07,181,2540,7.13%,9.7
2025-10-08,195,2511,7.77%,8.9
2025-10-09,212,2639,8.03%,9.1
2025-10-10,212,2804,7.56%,8.5
2025-10-11,208,2821,7.37%,8.5
2025-10-12,128,2296,5.57%,9.4
2025-10-13,131,2364,5.54%,9.8
2025-10-14,163,2470,6.6%,9.1
2025-10-15,119,1878,6.34%,10.3
2025-10-16,99,2179,4.54%,10.2
2025-10-17,157,2230,7.04%,11.2
2025-10-18,174,2592,6.71%,10.4
2025-10-19,144,2600,5.54%,10.5
2025-10-20,189,2799,6.75%,10.2
2025-10-21,244,3024,8.07%,9.4
2025-10-22,184,2355,7.81%,11
2025-10-23,206,2747,7.5%,9.7
2025-10-24,230,3323,6.92%,8.5
2025-10-25,202,2776,7.28%,8.4
2025-10-26,141,2326,6.06%,9.2
2025-10-27,136,2400,5.67%,10
2025-10-28,143,2458,5.82%,8.4
2025-10-29,122,2293,5.32%,9.3
2025-10-30,160,2179,7.34%,9.4
2025-10-31,152,2381,6.38%,8.9
2025-11-01,183,2569,7.12%,8.9
2025-11-02,127,1773,7.16%,10.3
2025-11-03,97,1584,6.12%,11.3
2025-11-04,167,2363,7.07%,9.1
2025-11-05,147,2239,6.57%,9.1
2025-11-06,123,2084,5.9%,9.6
2025-11-07,222,2767,8.02%,8.5
2025-11-08,149,2134,6.98%,9.8
2025-11-09,93,1535,6.06%,10.7
2025-11-10,100,1890,5.29%,10.6
2025-11-11,121,2104,5.75%,10.4
2025-11-12,111,2154,5.15%,9.9
2025-11-13,127,2349,5.41%,9.3
2025-11-14,128,2628,4.87%,9
2025-11-15,123,1740,7.07%,10.4
2025-11-16,111,1671,6.64%,10.3
2025-11-17,76,1611,4.72%,11.7
2025-11-18,99,1504,6.58%,11.5
2025-11-19,101,1489,6.78%,11.2
2025-11-20,84,1491,5.63%,12.4
2025-11-21,105,1435,7.32%,11.3
2025-11-22,94,1424,6.6%,12.1
2025-11-23,81,1461,5.54%,11.2
2025-11-24,86,1468,5.86%,12.5
2025-11-25,93,1361,6.83%,12.6
2025-11-26,78,1142,6.83%,12.9
2025-11-27,83,1373,6.05%,12.3
2025-11-28,117,1482,7.89%,11.6
2025-11-29,79,1454,5.43%,11.7
2025-11-30,67,1248,5.37%,12
2025-12-01,111,1927,5.76%,10.9
2025-12-02,101,1944,5.2%,11.1
2025-12-03,95,1856,5.12%,10.9
2025-12-04,100,2042,4.9%,13.4
2025-12-05,129,2126,6.07%,11.6
2025-12-06,135,2295,5.88%,10.8
2025-12-07,120,2072,5.79%,10.6
2025-12-08,98,1817,5.39%,11.5
2025-12-09,108,1878,5.75%,11.4
2025-12-10,82,1779,4.61%,11.6
2025-12-11,111,1789,6.2%,12.5
2025-12-12,69,1331,5.18%,16.7
2025-12-13,111,1675,6.63%,12.4
2025-12-14,66,1143,5.77%,15.5
2025-12-15,50,763,6.55%,18.9
2025-12-16,35,656,5.34%,18.9
2025-12-17,35,562,6.23%,18
2025-12-18,61,897,6.8%,18.8
2025-12-19,56,817,6.85%,18.6
2025-12-20,67,1046,6.41%,15.9
2025-12-21,92,1327,6.93%,12.8
2025-12-22,64,1316,4.86%,13.5
2025-12-23,97,1293,7.5%,13.9
2025-12-24,86,1247,6.9%,14.3
2025-12-25,106,1408,7.53%,15.3
2025-12-26,92,1477,6.23%,14.2
2025-12-27,115,1636,7.03%,12.4
2025-12-28,115,1585,7.26%,11.8
2025-12-29,116,1328,8.73%,13.2
2025-12-30,109,1541,7.07%,13
2025-12-31,111,1675,6.63%,12.6
2026-01-01,117,1692,6.91%,14.3
2026-01-02,66,1066,6.19%,15.7
2026-01-03,77,1047,7.35%,15.6
2026-01-04,67,1053,6.36%,15.8
2026-01-05,77,1169,6.59%,17.2
2026-01-06,69,1161,5.94%,14.2
2026-01-07,72,1196,6.02%,14.1
2026-01-08,65,927,7.01%,16.9
2026-01-09,77,1093,7.04%,19.5
2026-01-10,74,863,8.57%,17
2026-01-11,59,923,6.39%,17.4
2026-01-12,48,912,5.26%,18.2
2026-01-13,65,750,8.67%,19.6
2026-01-14,55,877,6.27%,18.4
2026-01-15,68,976,6.97%,14.1
2026-01-16,70,1102,6.35%,18.1
2026-01-17,107,1065,10.05%,14.8
2026-01-18,77,1093,7.04%,15.9
2026-01-19,74,1033,7.16%,15.2
2026-01-20,74,1005,7.36%,14.5
2026-01-21,41,725,5.66%,20.8
2026-01-22,36,661,5.45%,24.5
2026-01-23,53,745,7.11%,23.6
2026-01-24,41,569,7.21%,22.6
2026-01-25,52,576,9.03%,22.6
2026-01-26,42,830,5.06%,23.5
2026-01-27,38,581,6.54%,24.7
2026-01-28,36,567,6.35%,24.9
2026-01-29,46,578,7.96%,27.1
2026-01-30,36,651,5.53%,25.1
2026-01-31,57,639,8.92%,20.1
2026-02-01,53,744,7.12%,20.8
2026-02-02,73,1152,6.34%,18.8
2026-02-03,57,1020,5.59%,15.9
2026-02-04,65,1067,6.09%,16.3
2026-02-05,65,1172,5.55%,17.4
2026-02-06,99,1246,7.95%,16.3
2026-02-07,80,1018,7.86%,13.9
2026-02-08,70,1021,6.86%,16.3
2026-02-09,57,940,6.06%,17.4
2026-02-10,71,1054,6.74%,16.4
2026-02-11,54,1055,5.12%,15.3
2026-02-12,60,1057,5.68%,19.1
2026-02-13,67,1073,6.24%,15.2
2026-02-14,82,957,8.57%,16.2
2026-02-15,44,508,8.66%,24.3
2026-02-16,40,750,5.33%,16.8
2026-02-17,20,301,6.64%,29.7
2026-02-18,41,702,5.84%,15
2026-02-19,56,930,6.02%,18.8
2026-02-20,34,805,4.22%,17.3
2026-02-21,56,1136,4.93%,17.8
2026-02-22,50,1043,4.79%,16.3
2026-02-23,36,787,4.57%,20.4
2026-02-24,28,663,4.22%,22.1
2026-02-25,27,629,4.29%,23.3
2026-02-26,82,968,8.47%,16.1
2026-02-27,41,760,5.39%,20.3
2026-02-28,100,1114,8.98%,14.4
2026-03-01,69,1063,6.49%,13.2
